title,latitude,longitude
"Red Bud Tree",43.473481,-80.54247
"Red Maple",43.473447,-80.546087
"Region of Waterloo Well 4 Gazebo",43.469034,-80.544063
"Renison College Sculpture",43.468621,-80.546784
"Renison University College ",43.469218,-80.547355
"Renison University",43.469332,-80.548361
"Resurrection College",43.467863,-80.549706
"Resurrection College",43.468332,-80.548712
"Russian Mennonite Memorial Garden",43.465959,-80.543772
"Scarlet Oak ",43.468365,-80.540975
"Scarlet Oak",43.469237,-80.543624
"Skycole",43.472508,-80.540163
"Slan Prins Memorial",43.469291,-80.541294
"Soheil Khani Memorial",43.472359,-80.543011
"St. Jerome Gazebo",43.469484,-80.545959
"St. Jerome's University",43.468824,-80.546022
"St. Paul's Totem Pole",43.467996,-80.546386
"Stephen Taylor Memorial",43.476408,-80.54574
"Student Design Centre",43.473365,-80.540322
"Student Leadership Tree Planting",43.468423,-80.544968
"Student Leadership Tree",43.469299,-80.54479
"Student Life Centre",43.47196,-80.545074
"Sugar Maple",43.473358,-80.544345
"Sugar Maple",43.476178,-80.546368
"Sweet Dreams Teashop",43.472011,-80.539041
"The Bombshelter Pub Patio",43.471561,-80.544857
"The Living Wall",43.468147,-80.543035
"The Mission of Applied Health Science, UW",43.474135,-80.545272
"The Valentine O'Donovan Memorial Garden",43.471876,-80.546748
"U of W Energy Research Center",43.474066,-80.543417
"University Club ",43.472206,-80.547425
"University of Waterloo Founders",43.469029,-80.540191
"University of Waterloo Sign",43.469289,-80.539714
"University of Waterloo Sign",43.471208,-80.537999
"University of Waterloo South Campus North Entrance",43.474508,-80.546479
"University of Waterloo South Gates",43.468594,-80.539422
"University Residences",43.472946,-80.55093
"UW Health Services",43.47068,-80.54605
"UW Place",43.469895,-80.533893
"UW Place",43.470893,-80.535748
"UWAG",43.473493,-80.538581
"Walking Girl",43.468699,-80.542594
"Warrior Field",43.473752,-80.550588
"Waterloo East Campus Hall",43.474192,-80.538112
"Waterloo Park North Entrance",43.469546,-80.538837
"Waterloo Park",43.46818,-80.539199
"Waterloo Sign",43.469338,-80.541016
"Weight Memorial",43.46715,-80.541755
"William M. Tathem Centre",43.468941,-80.541311
"WRPIG Mural",43.471689,-80.545326
"Yellow Wood",43.472539,-80.545498
"Yellowwood",43.473005,-80.545876
